# Balancin telemetria  2026-05-26 01:37:01
# Cargar en MATLAB:
#   data = readmatrix('archivo.txt', 'CommentStyle','#');
# Columnas:
# t[s]	vd[m/s]	v[m/s]	theta[rad]	alpha[rad]	oml[rad/s]	omr[rad/s]	ul[V]	ur[V]	Sl	Sr	modo_sol
0.010	+0.000000	-0.015686	-0.049226	-0.131767	-0.922722	+0.000000	-2.235099	-2.152318	190	217	0
0.020	+0.000000	-0.010980	-0.049226	-0.131767	-0.692042	+0.000000	-2.317881	-2.235099	191	216	0
0.030	+0.000000	-0.010980	-0.046882	-0.142747	-0.692042	+0.000000	-2.400662	-2.317881	191	216	0
0.040	+0.000000	-0.010980	-0.046882	-0.131767	-0.692042	+0.000000	-2.235099	-2.235099	192	216	0
0.050	+0.000000	-0.010980	-0.046882	-0.164708	-0.692042	+0.000000	-2.897351	-2.814570	192	216	0
0.060	+0.000000	+0.000000	-0.049226	-0.142747	+0.000000	+0.000000	-2.483444	-2.483444	191	216	0
0.070	+0.000000	-0.006275	-0.046882	-0.142747	-0.346021	+0.000000	-2.317881	-2.317881	192	216	0
0.080	+0.000000	+0.000000	-0.046882	-0.098825	+0.000000	+0.000000	-1.572848	-1.572848	191	216	0
0.090	+0.000000	+0.000000	-0.049226	-0.076864	+0.000000	+0.000000	-1.324503	-1.324503	191	217	0
0.100	+0.000000	+0.000000	-0.049226	-0.109806	+0.000000	+0.000000	-1.821192	-1.821192	191	217	0
0.110	+0.000000	+0.000000	-0.049226	-0.098825	+0.000000	+0.000000	-1.738411	-1.738411	191	216	0
0.120	+0.000000	+0.000000	-0.051571	-0.098825	+0.000000	+0.000000	-1.655629	-1.655629	190	217	0
0.130	+0.000000	+0.000000	-0.051571	-0.098825	+0.000000	+0.000000	-1.655629	-1.655629	190	217	0
0.140	+0.000000	+0.000000	-0.051571	-0.087845	+0.000000	+0.000000	-1.490066	-1.490066	190	217	0
0.150	+0.000000	+0.000000	-0.053915	-0.065883	+0.000000	+0.000000	-1.076159	-1.076159	190	218	0
0.160	+0.000000	+0.000000	-0.053915	-0.054903	+0.000000	+0.000000	-0.827815	-0.827815	189	217	0
0.170	+0.000000	+0.000000	-0.053915	-0.054903	+0.000000	+0.000000	-0.993377	-0.993377	189	217	0
0.180	+0.000000	+0.000000	-0.053915	-0.043922	+0.000000	+0.000000	-0.745033	-0.745033	189	218	0
0.190	+0.000000	+0.000000	-0.053915	-0.032942	+0.000000	+0.000000	-0.579470	-0.579470	188	217	0
0.200	+0.000000	+0.000000	-0.053915	-0.043922	+0.000000	+0.000000	-0.662252	-0.662252	188	217	0
0.210	+0.000000	+0.000000	-0.056259	-0.032942	+0.000000	+0.000000	-0.496689	-0.496689	188	218	0
0.220	+0.000000	+0.000000	-0.056259	-0.032942	+0.000000	+0.000000	-0.413907	-0.413907	188	217	0
0.230	+0.000000	+0.000000	-0.056259	+0.000000	+0.000000	+0.000000	+0.000000	+0.000000	187	217	0
0.240	+0.000000	+0.000000	-0.056259	+0.010981	+0.000000	+0.000000	+0.165563	+0.165563	187	216	0
0.250	+0.000000	+0.000000	-0.058603	+0.021961	+0.000000	+0.000000	+0.496689	+0.496689	186	216	0
0.260	+0.000000	+0.000000	-0.058603	+0.010981	+0.000000	+0.000000	+0.165563	+0.165563	186	216	0
0.270	+0.000000	+0.000000	-0.058603	+0.021961	+0.000000	+0.000000	+0.496689	+0.496689	186	216	0
0.280	+0.000000	+0.000000	-0.058603	+0.032942	+0.000000	+0.000000	+0.662252	+0.662252	185	216	0
0.290	+0.000000	+0.004706	-0.058603	+0.043922	+0.000000	+0.230681	+0.745033	+0.745033	185	216	0
0.300	+0.000000	+0.000000	-0.058603	+0.065883	+0.000000	+0.000000	+1.158940	+1.158940	184	215	0
0.310	+0.000000	+0.000000	-0.058603	+0.076864	+0.000000	+0.000000	+1.407285	+1.407285	184	214	0
0.320	+0.000000	+0.000000	-0.058603	+0.087845	+0.000000	+0.000000	+1.490066	+1.490066	183	214	0
0.330	+0.000000	+0.004706	-0.058603	+0.076864	+0.000000	+0.230681	+1.324503	+1.324503	183	214	0
0.340	+0.000000	+0.000000	-0.058603	+0.065883	+0.000000	+0.000000	+1.241722	+1.241722	183	213	0
0.350	+0.000000	+0.004706	-0.058603	+0.065883	+0.000000	+0.230681	+1.158940	+1.158940	183	213	0
0.360	+0.000000	+0.000000	-0.058603	+0.076864	+0.000000	+0.000000	+1.324503	+1.324503	182	213	0
0.370	+0.000000	+0.004706	-0.056259	+0.087845	+0.000000	+0.230681	+1.572848	+1.572848	183	212	0
0.380	+0.000000	+0.000000	-0.056259	+0.098825	+0.000000	+0.000000	+1.655629	+1.655629	183	212	0
0.390	+0.000000	+0.000000	-0.056259	+0.098825	+0.000000	+0.000000	+1.738411	+1.738411	183	212	0
0.400	+0.000000	+0.000000	-0.056259	+0.120786	+0.000000	+0.000000	+2.069536	+2.069536	183	212	0
0.410	+0.000000	+0.000000	-0.056259	+0.120786	+0.000000	+0.000000	+2.069536	+2.069536	183	212	0
0.420	+0.000000	+0.000000	-0.053915	+0.120786	+0.000000	+0.000000	+2.152318	+2.152318	183	211	0
0.430	+0.000000	+0.000000	-0.053915	+0.131767	+0.000000	+0.000000	+2.317881	+2.317881	183	211	0
0.440	+0.000000	+0.000000	-0.051571	+0.142747	+0.000000	+0.000000	+2.483444	+2.483444	184	211	0
0.450	+0.000000	+0.000000	-0.053915	+0.142747	+0.000000	+0.000000	+2.483444	+2.483444	184	211	0
0.460	+0.000000	+0.000000	-0.051571	+0.142747	+0.000000	+0.000000	+2.566225	+2.566225	184	211	0
0.470	+0.000000	+0.000000	-0.051571	+0.142747	+0.000000	+0.000000	+2.483444	+2.483444	185	211	0
0.480	+0.000000	+0.000000	-0.051571	+0.153728	+0.000000	+0.000000	+2.566225	+2.566225	185	212	0
0.490	+0.000000	+0.000000	-0.051571	+0.153728	+0.000000	+0.000000	+2.566225	+2.566225	185	212	0
0.500	+0.000000	+0.000000	-0.051571	+0.164708	+0.000000	+0.000000	+2.814570	+2.814570	186	213	0
0.510	+0.000000	+0.000000	-0.051571	+0.175689	+0.000000	+0.000000	+3.062914	+3.062914	187	213	0
0.520	+0.000000	+0.000000	-0.051571	+0.219611	+0.000000	+0.000000	+3.725166	+3.725166	187	214	0
0.530	+0.000000	+0.000000	-0.051571	+0.219611	+0.000000	+0.000000	+3.807947	+3.807947	188	214	0
0.540	+0.000000	+0.000000	-0.049226	+0.285495	+0.000000	+0.000000	+4.884106	+4.884106	189	215	0
0.550	+0.000000	+0.000000	-0.049226	+0.307456	+0.000000	+0.000000	+5.298013	+5.298013	190	216	0
0.560	+0.000000	+0.004706	-0.051571	+0.263534	+0.230681	+0.000000	+4.470199	+4.470199	191	217	0
0.570	+0.000000	+0.004706	-0.049226	+0.252553	+0.230681	+0.000000	+4.387417	+4.387417	192	218	0
0.580	+0.000000	+0.004706	-0.051571	+0.230592	+0.230681	+0.000000	+4.056291	+4.056291	193	219	0
0.590	+0.000000	+0.009412	-0.051571	+0.252553	+0.576701	+0.000000	+4.470199	+4.470199	194	220	0
0.600	+0.000000	+0.000000	-0.051571	+0.208631	+0.000000	+0.000000	+3.559603	+3.559603	195	221	0
0.610	+0.000000	+0.000000	-0.049226	+0.318436	+0.000000	+0.000000	+5.380795	+5.380795	197	223	0
0.620	+0.000000	+0.004706	-0.049226	+0.395300	+0.230681	+0.000000	+6.788079	+6.788079	198	224	0
