# Balancin telemetria  2026-05-26 10:08:40
# Cargar en MATLAB:
#   data = readmatrix('archivo.txt', 'CommentStyle','#');
# Columnas:
# t[s]	vd[m/s]	v[m/s]	theta[rad]	alpha[rad]	oml[rad/s]	omr[rad/s]	ul[V]	ur[V]	Sl_adc12	Sr_adc12	modo_sol
0.010	+0.000000	+0.431022	+0.159959	+0.900672	+11.930061	+12.699742	+11.000000	+11.000000	1850	480	0
0.020	+0.000000	+0.437756	+0.155172	+1.100781	+12.699742	+12.314901	+11.000000	+11.000000	1874	545	0
0.030	+0.000000	+0.457960	+0.145247	+0.924181	+13.084583	+13.084583	+11.000000	+11.000000	1889	645	0
0.040	+0.000000	+0.464695	+0.142095	+0.991065	+13.084583	+13.469423	+11.000000	+11.000000	1895	678	0
0.050	+0.000000	+0.478165	+0.137658	+0.933285	+13.854263	+13.469423	+11.000000	+11.000000	1913	734	0
0.060	+0.000000	+0.491634	+0.132521	+0.989293	+14.239105	+13.854263	+11.000000	+11.000000	1932	797	0
0.070	+0.000000	+0.484899	+0.134155	+0.735017	+14.239105	+13.469423	+11.000000	+11.000000	1962	813	0
0.080	+0.000000	+0.498369	+0.127033	+0.780693	+14.623946	+13.854263	+11.000000	+11.000000	1936	848	0
0.090	+0.000000	+0.498369	+0.115591	+0.771331	+14.623946	+13.854263	+11.000000	+11.000000	1885	895	0
0.100	+0.000000	+0.511838	+0.110337	+0.962535	+15.008786	+14.239105	+11.000000	+11.000000	1875	930	0
0.110	+0.000000	+0.511838	+0.107651	+0.630050	+15.008786	+14.239105	+11.000000	+11.000000	1853	931	0
0.120	+0.000000	+0.518573	+0.116758	+0.900498	+15.393627	+14.239105	+11.000000	+11.000000	1886	886	0
0.130	+0.000000	+0.525308	+0.114773	+0.652182	+15.393627	+14.623946	+11.000000	+11.000000	1895	912	0
0.140	+0.000000	+0.525308	+0.108118	+0.635334	+15.393627	+14.623946	+11.000000	+11.000000	1871	945	0
0.150	+0.000000	+0.525308	+0.089670	+0.451882	+15.778467	+14.239105	+11.000000	+11.000000	1808	1040	0
0.160	+0.000000	+0.538777	+0.088269	+0.422545	+15.778467	+15.008786	+11.000000	+11.000000	1779	1023	0
0.170	+0.000000	+0.532042	+0.074959	+0.545094	+15.778467	+14.623946	+11.000000	+11.000000	1699	1057	0
0.180	+0.000000	+0.538777	+0.068304	+0.447147	+15.778467	+15.008786	+11.000000	+11.000000	1658	1073	0
0.190	+0.000000	+0.538777	+0.052658	+0.409347	+15.778467	+15.008786	+11.000000	+11.000000	1581	1130	0
0.200	+0.000000	+0.545512	+0.054760	+0.271331	+16.163309	+15.008786	+11.000000	+11.000000	1607	1138	0
0.210	+0.000000	+0.545512	+0.037363	+0.246105	+15.778467	+15.393627	+11.000000	+11.000000	1535	1215	0
0.220	+0.000000	+0.552246	+0.034093	+0.252423	+16.163309	+15.393627	+11.000000	+11.000000	1570	1278	0
0.230	+0.000000	+0.552246	+0.025804	+0.228246	+16.163309	+15.393627	+11.000000	+11.000000	1557	1336	0
0.240	+0.000000	+0.565716	+0.014712	+0.227863	+16.548149	+15.778467	+11.000000	+11.000000	1584	1458	0
0.250	+0.000000	+0.558981	+0.004203	+0.165158	+16.163309	+15.778467	+11.000000	+11.000000	1630	1594	0
0.260	+0.000000	+0.579185	-0.001868	-0.071404	+16.932989	+16.163309	-11.000000	-11.000000	1728	1744	0
0.270	+0.000000	+0.457960	-0.008640	-0.022138	+13.469423	+12.699742	-1.869638	-1.890582	1828	1902	0
0.280	+0.000000	+0.336736	-0.013777	-0.316459	+10.005857	+9.236176	-11.000000	-11.000000	1898	2016	0
0.290	+0.000000	+0.262654	-0.010859	-0.133094	+7.696814	+7.311973	-11.000000	-11.000000	1939	2032	0
0.300	+0.000000	+0.074082	-0.013427	-0.294111	+2.309044	+1.924203	-11.000000	-11.000000	2000	2115	0
