tiempo_s,proto,seq,vd,v,theta,alpha,omegal,omegar,ul,ur,sl_adc,sr_adc,modo_sol
0.000,v2,2972,0.000000,0.000000,0.052074,0.010524,-0.000000,0.000000,0.000000,0.000000,1535,1089,0
0.010,v2,2973,0.000000,0.000000,0.052074,0.008017,-0.000000,0.000000,0.000000,0.000000,1535,1089,0
0.020,v2,2974,0.000000,0.000000,0.058262,0.002326,-0.000000,0.000000,0.000000,0.000000,1554,1055,0
0.030,v2,2975,0.000000,0.000000,0.055810,0.000641,-0.000000,0.000000,0.000000,0.000000,1552,1074,0
0.040,v2,2976,0.000000,0.000000,0.060831,-0.004556,-0.000000,0.000000,0.000000,0.000000,1578,1057,0
0.050,v2,2977,0.000000,0.000000,0.052891,-0.010084,-0.000000,0.000000,0.000000,0.000000,1535,1082,0
0.060,v2,2978,0.000000,0.000000,0.052424,-0.013498,-0.000000,0.000000,0.000000,0.000000,1535,1086,0
0.070,v2,2979,0.000000,0.000000,0.052541,-0.015545,-0.000000,0.000000,0.000000,0.000000,1535,1085,0
0.080,v2,2980,0.000000,0.000000,0.052424,-0.018027,-0.000000,0.000000,0.000000,0.000000,1535,1086,0
0.090,v2,2981,0.000000,0.000000,0.057795,-0.019992,-0.000000,0.000000,0.000000,0.000000,1567,1072,0
0.100,v2,2982,0.000000,0.000000,0.059780,-0.024217,-0.000000,0.000000,0.000000,0.000000,1568,1056,0
0.110,v2,2983,0.000000,0.000000,0.053592,-0.024884,-0.000000,0.000000,0.000000,0.000000,1556,1097,0
0.120,v2,2984,0.000000,0.000000,0.057679,-0.025918,-0.000000,0.000000,0.000000,0.000000,1566,1072,0
0.130,v2,2985,0.000000,0.000000,0.058146,-0.024623,-0.000000,0.000000,0.000000,0.000000,1558,1060,0
0.140,v2,2986,0.000000,0.000000,0.053242,-0.021348,-0.000000,0.000000,0.000000,0.000000,1535,1079,0
0.150,v2,2987,0.000000,0.000000,0.055227,-0.018201,-0.000000,0.000000,0.000000,0.000000,1566,1093,0
0.160,v2,2988,0.000000,0.000000,0.055343,-0.018822,-0.000000,0.000000,0.000000,0.000000,1535,1061,0
0.170,v2,2989,0.000000,0.000000,0.056978,-0.013643,-0.000000,0.000000,0.000000,0.000000,1570,1082,0
0.180,v2,2990,0.000000,0.000000,0.057679,-0.011995,-0.000000,0.000000,0.000000,0.000000,1567,1073,0
0.190,v2,2991,0.000000,0.000000,0.059196,-0.011654,-0.000000,0.000000,0.000000,0.000000,1578,1071,0
0.200,v2,2992,0.000000,0.000000,0.056511,-0.012969,-0.000000,0.000000,0.000000,0.000000,1570,1086,0
0.210,v2,2993,0.000000,0.000000,0.053942,-0.011772,-0.000000,0.000000,0.000000,0.000000,1552,1090,0
0.220,v2,2994,0.000000,0.000000,0.055460,-0.014057,-0.000000,0.000000,0.000000,0.000000,1565,1090,0
0.230,v2,2995,0.000000,0.000000,0.056277,-0.015519,-0.000000,0.000000,0.000000,0.000000,1581,1099,0
0.240,v2,2996,0.000000,0.000000,0.053942,-0.015832,-0.000000,0.000000,0.000000,0.000000,1563,1101,0
0.250,v2,2997,0.000000,0.000000,0.058496,-0.017824,-0.000000,0.000000,0.000000,0.000000,1574,1073,0
0.260,v2,2998,0.000000,0.000000,0.054059,-0.020976,-0.000000,0.000000,0.000000,0.000000,1567,1104,0
0.270,v2,2999,0.000000,0.000000,0.054293,-0.026043,-0.000000,0.000000,0.000000,0.000000,1559,1094,0
0.280,v2,3000,0.000000,0.000000,0.054526,-0.027991,-0.000000,0.000000,0.000000,0.000000,1571,1104,0
0.290,v2,3001,0.000000,0.000000,0.053242,-0.031066,-0.000000,0.000000,0.000000,0.000000,1554,1098,0
0.300,v2,3002,0.000000,0.000000,0.056044,-0.034702,-0.000000,0.000000,0.000000,0.000000,1584,1104,0
0.310,v2,3003,0.000000,0.000000,0.057912,-0.034611,-0.000000,0.000000,0.000000,0.000000,1578,1082,0
0.320,v2,3004,0.000000,0.000000,0.053942,-0.033186,-0.000000,0.000000,0.000000,0.000000,1573,1111,0
0.330,v2,3005,0.000000,0.000000,0.059080,-0.030316,-0.000000,0.000000,0.000000,0.000000,1578,1072,0
0.340,v2,3006,0.000000,0.000000,0.055810,-0.027584,-0.000000,0.000000,0.000000,0.000000,1566,1088,0
0.350,v2,3007,0.000000,0.000000,0.057328,-0.024714,-0.000000,0.000000,0.000000,0.000000,1579,1088,0
0.360,v2,3008,0.000000,0.000000,0.056861,-0.022001,-0.000000,0.000000,0.000000,0.000000,1579,1092,0
0.370,v2,3009,0.000000,0.000000,0.056745,-0.018943,-0.000000,0.000000,0.000000,0.000000,1575,1089,0
0.380,v2,3010,0.000000,0.000000,0.058613,-0.018268,-0.000000,0.000000,0.000000,0.000000,1575,1073,0
0.390,v2,3011,0.000000,0.000000,0.055227,-0.016789,-0.000000,0.000000,0.000000,0.000000,1559,1086,0
0.400,v2,3012,0.000000,0.000000,0.051841,-0.013533,-0.000000,0.000000,0.000000,0.000000,1535,1091,0
